site_code,Family,local_name,standard_taxon,number_plots_observed,provenance,lifespan,lifeform,functional_group,photosynthetic_pathway
arch.us,Poaceae,"Panicum longifolium","Panicum agrostoides",1,NAT,PERENNIAL,NULL,GRASS,"C3-C4 Intermediate"
arch.us,Poaceae,"Paspalum notatum","Paspalum notatum",11,INT,PERENNIAL,GRASS,GRASS,C4
arch.us,Poaceae,"Schizachyrium rhizomatum","Schizachyrium rhizomatum",30,NAT,PERENNIAL,GRASS,GRASS,C4
arch.us,Poaceae,"Spartina bakeri","Spartina bakeri",1,NAT,PERENNIAL,GRASS,GRASS,C4
arch.us,Poaceae,"Unknown grass","Unknown grass sp.",1,NULL,NULL,NULL,GRASS,NULL
arch.us,Polygalaceae,"Polygala rugelii","Polygala rugelii",2,NAT,ANNUAL,FORB,FORB,NULL
arch.us,Polygalaceae,"Polygala setacea","Polygala setacea",9,NAT,ANNUAL,FORB,FORB,NULL
arch.us,Rubiaceae,"Oldenlandia uniflora","Oldenlandia uniflora",17,NAT,ANNUAL,FORB,FORB,NULL
arch.us,Smilacaceae,"Smilax sp.","Smilax sp.",2,NAT,PERENNIAL,VINE,FORB,NULL
arch.us,Xyridaceae,"Xyris sp.","Xyris sp.",17,UNK,NULL,NULL,FORB,NULL
arch.us,Xyridaceae,"Xyris sp. 2","Xyris sp.",1,UNK,NULL,NULL,FORB,NULL
azi.cn,NULL,_____,Unknown,1,NULL,NULL,NULL,NULL,NULL
azi.cn,Amaryllidaceae,"Allium chysanthum","Allium chrysanthum",30,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Apiaceae,"Daucus carota","Daucus carota",1,NULL,NULL,NULL,FORB,NULL
azi.cn,Apiaceae,"Foeniculum vulgare","Foeniculum vulgare",13,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Apiaceae,"Pleurospermum camtschatium","Pleurospermum uralense",30,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Apiaceae,"Saposhnikovia divaricata","Saposhnikovia divaricata",4,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Boraginaceae,"Microula sikkimensis","Microula sikkimensis",6,NAT,NULL,HERB,FORB,NULL
azi.cn,Caryophyllaceae,"Arenaria serpyllifolia","Arenaria serpyllifolia",30,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Caryophyllaceae,"Cerastium arvense","Cerastium arvense",30,NAT,INDETERMINATE,HERB,FORB,NULL
azi.cn,Compositae,"Anaphalis hancockii","Anaphalis hancockii",12,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Anaphalis lactea","Anaphalis lactea",1,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Artemisia mongolica","Artemisia mongolica",15,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Artemisia sieversiana","Artemisia sieversiana",29,NAT,ANNUAL,HERB,FORB,NULL
azi.cn,Compositae,"Aster alpinus","Aster alpinus",3,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Aster tongolensis","Aster tongolensis",1,NAT,PERENNIAL,HERB,FORB,NULL
